Autocomplete: Incompatible with protractor tests,https://github.com/angular/components/issues/4467, protractor tests flaky due to stale data or wait,DOM Selector Issue,,Angular,Unspecified, A solution has been to use NoopAnimationsModule instead of BrowserAnimationsModule,Disable Animations,,,,


- > coffescript = fix(specs): Fix intermittent async error and max event listener leak\n\nAn absolute ContactStore spec was causing the listener leak by\nre-initializing the store and not cleaning it up.\n\nIntermittent theme manager failing spec might be caused due to timing of\nthe theme activation,https://github.com/nylas/nylas-mail/commit/b0b0c14d037c38ac0d74079b8a544d9c9d0e9b6c,timing of the theme activation,Resource Rendering,https://github.com/nylas/nylas-mail/blob/b0b0c14d037c38ac0d74079b8a544d9c9d0e9b6c/spec/theme-manager-spec.coffee, ,Unspecified,added then to the active function,Fix Await Mechanism,,,,
-> coffescript  = "fix(config): Apply config change from Atom, process locking\n\nSummary:\nhttps://github.com/atom/atom/commit/d1c44dcb54994eb733eff0bfde69c8454aeff22c\n\nAlso lock config across processes to prevent the user from being logged out when the main process reads config before it's finished writing. This is what is causing the login window to appear.\n\nTest Plan: Rapidly tap between the two display modes. Note that it no longer reverts to the wrong one intermittently.\n\nReviewers: evan\n\nReviewed By: evan\n\nDifferential Revision: https://phab.nylas.com/D1931",https://github.com/nylas/nylas-mail/commit/6c407f2f1c2f72d1b4ccd5c1697485fb320ff82a,the main process reads config before it's finished writing.,Test Order Dependency,https://github.com/nylas/nylas-mail/blob/6c407f2f1c2f72d1b4ccd5c1697485fb320ff82a/spec/config-spec.coffee,,Provide Steps,Added lock,Fix Await Mechanism,,,,
-> ruby "Fix flaky activation test\n\nMove mouse off of the button to see the ""Active"""" text.\n\nAlso",https://github.com/houndci/hound/commit/bc34c1cf6d796cca4488257dead74f8d640fd286,"mouse covered ""active"" text",Incorrect Test Runner Interaction,https://github.com/houndci/hound/blob/bc34c1cf6d796cca4488257dead74f8d640fd286/spec/features/user_activates_a_repo_spec.rb,CircleCi, Unspecified,move mouse off,Use Workaround,https://github.com/houndci/hound/pull/1503,,,
-> json = feat(button):'Add'overflow'ellipsis'mixin'(#5352)\n\n*'feat(button):'Add'overflow'ellipsis'mixin\r\n\r\n*'WIP'try'to'fix'flaky'tests\r\n\r\n*'WIP'json'is'dumb,https://github.com/material-components/material-components-web/commit/47949b08e0a2ec82178c638d8074c34c745409b4, invalid textarea; delay not enough,Platform Issue,https://github.com/material-components/material-components-web/blob/05a35e675d6644a64605264f2191b22be477f18b/test/screenshot/diffing.json,"travis, jasmine, Sauce Labs, CrossBrowserTesting, karma, webdriver",Unspecified,skip,Remove Test,https://github.com/material-components/material-components-web/pull/5352, false,,
-> python = Wait'for'`entry-menu`'before'trying'to'click'it.\n\nThis'*may*'prevent'some'of'the'intermittent'errors'in'the'Timesheet'tests.'Maybe.,https://github.com/overshard/timestrap/commit/b1bc72d7e062027255bdd34285db87c2677df8a3, entry-menu intermittently not loaded before click,Resource Rendering,https://github.com/overshard/timestrap/blob/b1bc72d7e062027255bdd34285db87c2677df8a3/core/tests/tests_selenium.py, ,Unspecified,added waitForPresence func,Fix Await Mechanism,,,,

-> INFRA
